icao_code;iata_code;name;coordinates;elevation_ft;continent;iso_country;uf;municipality
SIZX;JUA;Inácio Luís do Nascimento Airport;-57.5495, -11.2966;870;SA;BR;MT;Juara
SJHG;CFO;Confresa Airport;-51.5635986328125, -10.634400367736816;781;SA;BR;MT;Confresa
SJNP;NPR;Novo Progresso Airport;-55.400833, -7.125833;794;SA;BR;PA;Novo Progresso
SJOG;AQM;Ariquemes Airport;-63.04888916015625, -9.884721755981445;466;SA;BR;RO;Ariquemes
SJRG;RIG;Rio Grande Regional Airport;-52.167184, -32.083065;27;SA;BR;RS;Rio Grande
SBAE;JTC;Bauru/Arealva–Moussa Nakhal Tobias State Airport;-49.0502866745, -22.166859140899998;1962;SA;BR;SP;Bauru
SJVO;ARS;Aragarças Airport;-52.2411, -15.8994;1061;SA;BR;GO;Aragarças
SNAI;APY;Alto Parnaíba Airport;-45.950557708740234, -9.083610534667969;968;SA;BR;MA;Alto Parnaíba
SNAL;APQ;Arapiraca Airport;-36.62919998168945, -9.775360107421875;886;SA;BR;AL;Arapiraca
SNAR;AMJ;Cirilo Queiróz Airport;-40.66722, -16.18389;640;SA;BR;MG;Almenara
SNAX;AIF;Marcelo Pires Halzhausen Airport;-50.453056, -22.64;1850;SA;BR;SP;Assis
SNBC;BDC;Barra do Corda Airport;-45.215833, -5.5025;509;SA;BR;MA;Barra Do Corda
SNBL;BVM;Belmonte Airport;-38.87189865112305, -15.871700286865234;33;SA;BR;BA;Belmonte
SNBR;BRA;Barreiras Airport;-45.00899887084961, -12.078900337219238;2447;SA;BR;BA;Barreiras
SNBS;BSS;Balsas Airport;-46.05329895019531, -7.52603006362915;930;SA;BR;MA;Balsas
SSXH;BMS;Sócrates Mariani Bittencourt Airport;-41.817501, -14.2554;1673;SA;BR;BA;Brumado
SNBX;BQQ;Barra Airport;-43.147499084472656, -11.08080005645752;1345;SA;BR;BA;Barra
;CTP;Carutapera Airport;-46.0172233581543, -1.2502779960632324;85;SA;BR;MA;Carutapera
SNCU;CPU;Cururupu Airport;-44.866944, -1.821111;39;SA;BR;MA;Cururupu
SNCX;QCH;Colatina Airport;-40.57939910888672, -19.48699951171875;492;SA;BR;ES;Colatina
SNDC;RDC;Redenção Airport;-49.97990036010742, -8.033289909362793;670;SA;BR;PA;Redenção
;LEP;Leopoldina Airport;-42.727001, -21.466101;919;SA;BR;MG;Leopoldina
SNDT;DTI;Diamantina Airport;-43.650398254399995, -18.232000351;4446;SA;BR;MG;Diamantina
SNDV;DIQ;Brigadeiro Cabral Airport;-44.870899200439, -20.180700302124;2608;SA;BR;MG;Divinópolis
SNED;CNV;Sócrates Rezende Airport;-38.954700469971, -15.666999816895;19;SA;BR;BA;Canavieiras
SNFX;SXX;São Félix do Xingu Airport;-51.9523, -6.6413;656;SA;BR;PA;São Félix do Xingu
SNGA;GUZ;Guarapari Airport;-40.491901397700005, -20.646499633800005;28;SA;BR;ES;Guarapari
SNGD;GDP;Guadalupe Airport;-43.58219909667969, -6.782219886779785;564;SA;BR;PI;Guadalupe
SNGI;GNM;Guanambi Airport;-42.74610137939453, -14.208200454711914;1815;SA;BR;BA;Guanambi
SNGN;QGP;Garanhuns Airport;-36.47159957885742, -8.834280014038086;2533;SA;BR;PE;Garanhuns
SWTX;ITN;Tertuliano Guedes de Pinho Airport;-39.290401, -14.8105;197;SA;BR;BA;Itabuna
SNIC;IRE;Irecê Airport;-41.84700012207031, -11.339900016784668;2561;SA;BR;BA;Irecê
SNIG;QIG;Iguatu Airport;-39.293800354003906, -6.346640110015869;699;SA;BR;CE;Iguatu
SNIP;QIT;Itapetinga Airport;-40.277198791503906, -15.244500160217285;915;SA;BR;BA;Itapetinga
SNIU;IPU;Ipiaú Airport;-39.733890533447266, -14.133889198303223;492;SA;BR;BA;Ipiaú
SNJB;JCM;Jacobina Airport;-40.5531005859375, -11.163200378417969;1640;SA;BR;BA;Jacobina
SDIY;FEC;João Durval Carneiro Airport;-38.906799, -12.2003;768;SA;BR;BA;Feira De Santana
SNJK;JEQ;Jequié Airport;-40.07160186767578, -13.877699851989746;646;SA;BR;BA;Jequié
SNJN;JNA;Januária Airport;-44.385501861572266, -15.473799705505371;1575;SA;BR;MG;Januária
SNJR;JDR;Prefeito Octávio de Almeida Neves Airport;-44.2247238159, -21.0849990845;3117;SA;BR;MG;São João Del Rei
SNKE;CMP;Santana do Araguaia Airport;-50.32849884033203, -9.31997013092041;597;SA;BR;PA;Santana Do Araguaia
SNKI;CDI;Cachoeiro do Itapemirim Airport;-41.1856002808, -20.834299087499996;335;SA;BR;ES;Cachoeiro Do Itapemirim
SNKN;QCP;Currais Novos Airport;-36.540279388427734, -6.280832767486572;1148;SA;BR;RN;Currais Novos
SNLO;SSO;São Lourenço Airport;-45.044498443603516, -22.090900421142578;2871;SA;BR;MG;São Lourenço
SNMA;MTE;Monte Alegre Airport;-54.07419967651367, -1.9958000183105469;325;SA;BR;PA;Monte Alegre
SNMU;MVS;Mucuri Airport;-39.864200592041016, -18.048900604248047;276;SA;BR;BA;Mucuri
SNMX;SBJ;São Mateus Airport;-39.83369827270508, -18.72130012512207;98;SA;BR;ES;São Mateus
SNMZ;PTQ;Porto de Moz Airport;-52.23609924316406, -1.7414499521255493;53;SA;BR;PA;Porto De Moz
SNNU;NNU;Nanuque Airport;-40.329898834228516, -17.823299407958984;591;SA;BR;MG;Nanuque
SNOS;PSW;Municipal José Figueiredo Airport;-46.661800384521484, -20.732200622558594;2697;SA;BR;MG;Passos
SNOU;FEJ;Novo Aeródromo de Feijó;-70.347221374512, -8.140832901001;551;SA;BR;AC;Feijó
SNOX;ORX;Oriximiná Airport;-55.83620071411133, -1.7140799760818481;262;SA;BR;PA;Oriximiná
SNPC;PCS;Picos Airport;-41.52370071411133, -7.0620598793029785;1050;SA;BR;PI;Picos
SNPD;POJ;Patos de Minas Airport;-46.4911994934082, -18.672800064086914;2793;SA;BR;MG;Patos De Minas
SNPX;PIV;Pirapora Airport;-44.86029815673828, -17.3169002532959;1808;SA;BR;MG;Pirapora
SNQG;FLB;Cangapara Airport;-43.077301025390625, -6.8463897705078125;689;SA;BR;PI;Floriano
SNRD;PDF;Prado Airport;-39.27119827270508, -17.29669952392578;66;SA;BR;BA;Prado
SNRU;CAU;Caruaru Airport;-36.01350021362305, -8.282389640808105;1891;SA;BR;PE;Caruaru
SNSW;SFK;Soure Airport;-48.520999908447266, -0.6994310021400452;43;SA;BR;PA;Soure
SNTF;TXF;9 de Maio - Teixeira de Freitas Airport;-39.66849899292, -17.524499893188;344;SA;BR;BA;Teixeira De Freitas
SNTI;OBI;Óbidos Airport;-55.514400482177734, -1.867169976234436;328;SA;BR;PA;Óbidos
SNTO;TFL;Juscelino Kubitscheck Airport;-41.51359939575195, -17.89229965209961;1572;SA;BR;MG;Teófilo Otoni
SNVB;VAL;Valença Airport;-38.992401, -13.2965;21;SA;BR;BA;Valença
SNVI;QID;Mélio Viana Airport;-45.26919937133789, -21.790599822998047;3232;SA;BR;MG;Três Corações
SNVS;BVS;Breves Airport;-50.443599700927734, -1.6365300416946411;98;SA;BR;PA;Breves
SNWC;CMC;Camocim Airport;-40.858001708984375, -2.8961799144744873;16;SA;BR;CE;Camocim
SNYA;GGF;Almeirim Airport;-52.57833480834961, -1.4919439554214478;584;SA;BR;PA;Almeirim
SNYE;PHI;Pinheiro Airport;-45.067222595214844, -2.4836111068725586;66;SA;BR;MA;Pinheiro
SNYW;GMS;Antônio Guerreiro Airport;-44.651114, -2.109444;245;SA;BR;MA;Guimarães
SNZA;PPY;Pouso Alegre Airport;-45.91910171508789, -22.289199829101562;2904;SA;BR;MG;Pouso Alegre
SNZW;ITE;Ituberá Airport;-39.1416664124, -13.7322216034;23;SA;BR;BA;Ituberá
SSAK;CZB;Carlos Ruhl Airport;-53.610557556152, -28.657777786255;1542;SA;BR;RS;Cruz Alta
SSAP;APU;Captain João Busse Airport;-51.384499, -23.609501;2641;SA;BR;PR;Apucarana
SSBG;BGV;Aeroclube de Bento Gonçalves Airport;-51.5363883972, -29.1483325958;2209;SA;BR;RS;Bento Gonçalves
SSBL;BNU;Blumenau Airport;-49.090301513671875, -26.83060073852539;60;SA;BR;SC;Blumenau
SSCK;CCI;Concórdia Airport;-52.05270004272461, -27.180599212646484;2461;SA;BR;SC;Concórdia
SSCL;CSS;Cassilândia Airport;-51.676941, -19.146861;1568;SA;BR;MS;Cassilândia
SSCN;QCN;Canela Airport;-50.832000732421875, -29.37019920349121;2723;SA;BR;RS;Canela
SSCP;CKO;Cornélio Procópio Airport;-50.602500915527344, -23.15250015258789;1854;SA;BR;PR;Cornélio Procópio
SBDO;DOU;Dourados Airport;-54.926601, -22.2019;1503;SA;BR;MS;Dourados
SSER;ERM;Erechim Airport;-52.2682991027832, -27.66189956665039;2498;SA;BR;RS;Erechim
SSFB;FBE;Francisco Beltrão Airport;-53.063499450683594, -26.059200286865234;2100;SA;BR;PR;Francisco Beltrão
SSGY;QGA;Guaíra Airport;-54.19169998168945, -24.081100463867188;889;SA;BR;PR;Guaíra
SSHZ;HRZ;Walter Bündchen Airport;-54.339099884, -27.638299942;1063;SA;BR;RS;Horizontina
SSIJ;IJU;Ijuí Airport;-53.84659957885742, -28.36870002746582;1197;SA;BR;RS;Ijuí
SSIQ;ITQ;Itaqui Airport;-56.53670120239258, -29.173099517822266;230;SA;BR;RS;Itaqui
SSJA;JCB;Santa Terezinha Airport;-51.5532989502, -27.1714000702;2546;SA;BR;SC;Joaçaba
SSKM;CBW;Campo Mourão Airport;-52.3568000793, -24.009199142499998;1854;SA;BR;PR;Campo Mourão
SSKS;QDB;Cachoeira do Sul Airport;-52.940799713134766, -30.00189971923828;253;SA;BR;RS;Cachoeira Do Sul
SSKU;QCR;Curitibanos Airport;-50.61140060424805, -27.282499313354492;3133;SA;BR;SC;Curitibanos
SSKW;OAL;Cacoal Airport;-61.4508, -11.496;778;SA;BR;RO;Cacoal
SSLN;LOI;Helmuth Baungarten Airport;-49.5424995422, -27.159999847399998;1095;SA;BR;SC;Lontras
SSLT;ALQ;Alegrete Novo Airport;-55.8933982849, -29.812700271599997;459;SA;BR;RS;Alegrete
SSMF;QMF;Mafra Airport;-49.83219909667969, -26.158899307250977;2690;SA;BR;SC;Mafra
SSNG;QGF;Montenegro Airport;-51.48939895629883, -29.71940040588379;125;SA;BR;RS;Montenegro
SSNH;QHV;Novo Hamburgo Airport;-51.08169937133789, -29.69610023498535;66;SA;BR;RS;Novo Hamburgo
SSOE;SQX;São Miguel do Oeste Airport;-53.503501892089844, -26.781600952148438;2180;SA;BR;SC;São Miguel Do Oeste
SSOG;APX;Arapongas Airport;-51.491699, -23.3529;2599;SA;BR;PR;Arapongas
SBPO;PTO;Juvenal Loureiro Cardoso Airport;-52.694463, -26.217184;2697;SA;BR;PR;Pato Branco
SSPG;PNG;Paranaguá Airport;-48.53120040893555, -25.54010009765625;16;SA;BR;PR;Paranaguá
SSPI;PVI;Paranavaí Airport;-52.48849868774414, -23.08989906311035;1526;SA;BR;PR;Paranavaí
SSPN;PBB;Paranaíba Airport;-51.19940185546875, -19.651199340820312;1446;SA;BR;MS;Paranaíba
SSQT;QAC;Castro Airport;-49.96030044555664, -24.8075008392334;3314;SA;BR;PR;Castro
SSRU;SQY;São Lourenço do Sul Airport;-52.032798767089844, -31.38330078125;28;SA;BR;RS;São Lourenço Do Sul
SSSB;JBS;São Borja Airport;-56.034599, -28.6549;246;SA;BR;RS;São Borja
SSSC;CSU;Santa Cruz do Sul Airport;-52.412200927734375, -29.684099197387695;646;SA;BR;RS;Santa Cruz Do Sul
SBTG;TJL;Plínio Alarcom Airport;-51.684200286865, -20.754199981689;1050;SA;BR;MS;Três Lagoas
SSUM;UMU;Umuarama Airport;-53.31380081176758, -23.7987003326416;1558;SA;BR;PR;Umuarama
SSUO;ZFU;Unifly Heliport;-46.330554962200004, -23.4086112976;2641;SA;BR;SP;Arujá
SSVI;VIA;Videira Airport;-51.14189910888672, -26.99970054626465;2756;SA;BR;SC;Videira
SSVP;CTQ;Santa Vitória do Palmar Airport;-53.34416580200195, -33.50222396850586;82;SA;BR;RS;Santa Vitória Do Palmar
SSVR;QVR;Volta Redonda Airport;-44.085, -22.4978;1245;SA;BR;RJ;Volta Redonda
SSXX;AXE;Xanxerê Airport;-52.373054504399995, -26.875556945800003;2986;SA;BR;SC;Xanxerê
SSYA;AAG;Avelino Vieira Airport;-49.789101, -24.103901;2641;SA;BR;PR;Arapoti
SSZR;SRA;Santa Rosa Airport;-54.520401, -27.9067;984;SA;BR;RS;Santa Rosa
SBPG;PGZ;Ponta Grossa Airport - Comandante Antonio Amilton Beraldo;-50.1441, -25.1847;2588;SA;BR;PR;Ponta Grossa
SWBC;BAZ;Barcelos Airport;-62.919601, -0.981292;112;SA;BR;AM;Barcelos
SWBG;LCB;Pontes e Lacerda Airport;-59.3848, -15.1934;870;SA;BR;MT;Pontes e Lacerda
SWBR;RBB;Borba Airport;-59.60240173339844, -4.4063401222229;293;SA;BR;AM;Borba
SWCA;CAF;Carauari Airport;-66.89749908447266, -4.871520042419434;355;SA;BR;AM;Carauari
SWCQ;CQS;Costa Marques Airport;-64.25160217285156, -12.421099662780762;555;SA;BR;RO;Costa Marques
SWDM;DMT;Diamantino Airport;-56.40039825439453, -14.376899719238281;1476;SA;BR;MT;Diamantino
SWDN;DNO;Dianópolis Airport;-46.846698761, -11.5953998566;2001;SA;BR;TO;Dianópolis
SWEI;ERN;Eirunepé Airport;-69.87979888916016, -6.639530181884766;412;SA;BR;AM;Eirunepé
SWEK;CQA;Canarana Airport;-52.27055740356445, -13.574443817138672;1314;SA;BR;MT;Canarana
SWFX;SXO;São Félix do Araguaia Airport;-50.68960189819336, -11.632399559020996;650;SA;BR;MT;São Félix Do Araguaia
SWGI;GRP;Gurupi Airport;-49.132198333740234, -11.73960018157959;1148;SA;BR;TO;Gurupi
SWGN;AUX;Araguaína Airport;-48.240501, -7.22787;771;SA;BR;TO;Araguaína
SWHT;HUW;Humaitá Airport;-63.072101593, -7.532120227810001;230;SA;BR;AM;Humaitá
SWII;IPG;Ipiranga Airport;-69.69400024414062, -2.939069986343384;131;SA;BR;AM;Santo Antônio Do Içá
SWIY;IDO;Santa Izabel do Morro Airport;-50.66619873046875, -11.57229995727539;647;SA;BR;TO;Cristalândia
SBJI;JPR;Ji-Paraná Airport;-61.8465003967, -10.870800018299999;598;SA;BR;RO;Ji-Paraná
SWJN;JIA;Juína Airport;-58.701668, -11.419444;1083;SA;BR;MT;Juína
SWJU;JRN;Juruena Airport;-58.489444732666016, -10.305832862854004;525;SA;BR;MT;Juruena
SWJW;JTI;Jataí Airport;-51.7729988098, -17.8299007416;2529;SA;BR;GO;Jataí
SWKC;CCX;Cáceres Airport;-57.62990188598633, -16.04360008239746;492;SA;BR;MT;Cáceres
SWKO;CIZ;Coari Airport;-63.132598876953125, -4.134059906005859;131;SA;BR;AM;Coari
SWKT;TLZ;Catalão Airport;-47.89970016479492, -18.216800689697266;2612;SA;BR;GO;Catalão
SWLB;LBR;Lábrea Airport;-64.76950073242188, -7.278969764709473;190;SA;BR;AM;Lábrea
SWLC;RVD;General Leite de Castro Airport;-50.956111907958984, -17.8347225189209;2464;SA;BR;GO;Rio Verde
SWMW;MBZ;Maués Airport;-57.7248, -3.37217;69;SA;BR;AM;Maués
SWNA;NVP;Novo Aripuanã Airport;-60.364898681640625, -5.118030071258545;118;SA;BR;AM;Novo Aripuanã
SWNK;BCR;Novo Campo Airport;-67.312401, -8.83456;394;SA;BR;AM;Boca do Acre
SWNQ;NQL;Niquelândia Airport;-48.49150085449219, -14.434900283813477;2756;SA;BR;GO;Niquelândia
SWNS;APS;Anápolis Airport;-48.9271011353, -16.3623008728;3648;SA;BR;GO;Anápolis
SWOB;FBA;Fonte Boa Airport;-66.0831985474, -2.5326099395800004;207;SA;BR;AM;Fonte Boa
SWPG;PBV;Porto dos Gaúchos Airport;-57.3782, -11.5404;1312;SA;BR;MT;Porto Dos Gaúchos
SWPI;PIN;Parintins Airport;-56.777198791503906, -2.6730198860168457;87;SA;BR;AM;Parintins
SWPM;PBQ;Pimenta Bueno Airport;-61.179100036621094, -11.641599655151367;682;SA;BR;RO;Pimenta Bueno
SWPQ;PBX;Fazenda Piraguassu Airport;-51.685001373291, -10.861110687256;705;SA;BR;MT;Porto Alegre Do Norte
SWRA;AAI;Arraias Airport;-46.884107, -13.025154;1923;SA;BR;TO;Arraias
SBRD;ROO;Maestro Marinho Franco Airport;-54.7248, -16.586;1467;SA;BR;MT;Rondonópolis
SSOU;AIR;Aripuanã Airport;-59.457273, -10.188278;623;SA;BR;MT;Aripuanã
SBSI;OPS;Presidente João Batista Figueiredo Airport;-55.586109, -11.885001;1227;SA;BR;MT;Sinop
SWST;STZ;Santa Terezinha Airport;-50.518611907958984, -10.4647216796875;663;SA;BR;MT;Santa Terezinha
SWTP;IRZ;Tapuruquara Airport;-64.9923, -0.3786;223;SA;BR;AM;Santa Isabel Do Rio Negro
SWTS;TGQ;Tangará da Serra Airport;-57.4435005188, -14.661999702500001;1460;SA;BR;MT;Tangará Da Serra
SWTU;AZL;Fazenda Tucunaré Airport;-58.866935, -13.465528;1814;SA;BR;MT;Sapezal
SWTY;QHN;Taguatinga Airport;-46.40055465698242, -12.433889389038086;1959;SA;BR;TO;Taguatinga
SWUA;SQM;São Miguel do Araguaia Airport;-50.197601318359375, -13.331299781799316;1249;SA;BR;GO;São Miguel Do Araguaia
SWVB;MTG;Vila Bela da Santíssima Trindade Airport;-59.9458, -14.9942;660;SA;BR;MT;Vila Bela Da Santíssima Trindade
SWVC;VLP;Vila Rica Airport;-51.1422233581543, -9.979443550109863;892;SA;BR;MT;Vila Rica
SWXM;MBK;Regional Orlando Villas Boas Airport;-54.9527778625, -10.170277595500002;886;SA;BR;MT;Matupá
SWXV;NOK;Xavantina Airport;-52.34640121459961, -14.6983003616333;1035;SA;BR;MT;Nova Xavantina
